WellName,FlowDate,FlowRateAcFtPM,FlowRateCFS,FlowRateGPM
SW0193,1/1/2023,0,,
SW0193,2/1/2023,0,,
SW0193,3/1/2023,0,,
SW0193,4/1/2023,0,,
SW0193,5/1/2023,89.06,,
SW0193,6/1/2023,556.12,,
SW0193,7/1/2023,605.22,,
SW0193,8/1/2023,10.87,,
SW0193,9/1/2023,63.47,,
SW0265,10/1/2022,0,,
SW0265,11/1/2022,0,,
SW0265,12/1/2022,0,,
SW0265,1/1/2023,0,,
SW0265,2/1/2023,0,,
SW0265,3/1/2023,0,,
SW0265,4/1/2023,5.45,,
SW0265,5/1/2023,53.45,,
SW0265,6/1/2023,20.39,,
SW0265,7/1/2023,128.21,,
SW0265,8/1/2023,58.42,,
SW0265,9/1/2023,14.54,,
SW0001,10/1/2022,124.03,,
SW0001,11/1/2022,106.24,,
SW0001,12/1/2022,249.93,,
SW0001,1/1/2023,85.85,,
SW0001,2/1/2023,92.09,,
SW0001,3/1/2023,76.05,,
SW0001,4/1/2023,86.82,,
SW0001,5/1/2023,102.14,,
SW0001,6/1/2023,141.62,,
SW0001,7/1/2023,929.92,,
SW0001,8/1/2023,137.35,,
SW0001,9/1/2023,110.16,,
SW0012,10/1/2022,0,,
SW0012,11/1/2022,0,,
SW0012,12/1/2022,1.81,,
SW0012,1/1/2023,37.71,,
SW0012,2/1/2023,0,,
SW0012,3/1/2023,106.95,,
SW0012,4/1/2023,412.69,,
SW0012,5/1/2023,841.64,,
SW0012,6/1/2023,1073.75,,
SW0012,7/1/2023,976.07,,
SW0012,8/1/2023,513.02,,
SW0012,9/1/2023,188.92,,
SW0035,10/1/2022,0,,
SW0035,11/1/2022,0,,
SW0035,12/1/2022,0,,
SW0035,1/1/2023,20.64,,
SW0035,2/1/2023,0,,
SW0035,3/1/2023,117.3,,
SW0035,4/1/2023,176.48,,
SW0035,5/1/2023,243.27,,
SW0035,6/1/2023,307.3,,
SW0035,7/1/2023,340.09,,
SW0035,8/1/2023,307.86,,
SW0035,9/1/2023,206.63,,
SW0036,10/1/2022,0,,
SW0036,11/1/2022,0,,
SW0036,12/1/2022,0,,
SW0036,1/1/2023,0,,
SW0036,2/1/2023,0,,
SW0036,3/1/2023,35.03,,
SW0036,4/1/2023,94.18,,
SW0036,5/1/2023,85.15,,
SW0036,6/1/2023,74.62,,
SW0036,7/1/2023,97.58,,
SW0036,8/1/2023,88.64,,
SW0036,9/1/2023,5.17,,
SW0184,10/1/2022,3.75,,
SW0259,10/1/2022,0,,
SW0259,11/1/2022,0,,
SW0259,12/1/2022,0,,
SW0259,1/1/2023,0,,
SW0259,2/1/2023,0,,
SW0259,3/1/2023,0,,
SW0259,4/1/2023,0,,
SW0259,5/1/2023,0,,
SW0259,6/1/2023,126.65,,
SW0259,7/1/2023,313.93,,
SW0259,8/1/2023,160.74,,
SW0259,9/1/2023,64.84,,
SW0276,10/1/2022,0,,
SW0276,11/1/2022,0,,
SW0276,12/1/2022,0,,
SW0276,1/1/2023,0,,
SW0276,2/1/2023,0,,
SW0276,3/1/2023,0,,
SW0276,4/1/2023,5.16,,
SW0276,5/1/2023,6.94,,
SW0276,6/1/2023,0,,
SW0276,7/1/2023,3.23,,
SW0276,8/1/2023,31.83,,
SW0276,9/1/2023,43.7,,
SW0376,10/1/2022,0,,
SW0376,11/1/2022,0,,
SW0376,12/1/2022,0,,
SW0376,1/1/2023,0,,
SW0376,2/1/2023,0,,
SW0376,3/1/2023,0,,
SW0376,4/1/2023,0,,
SW0376,5/1/2023,0,,
SW0376,6/1/2023,0,,
SW0376,7/1/2023,0,,
SW0376,8/1/2023,0,,
SW0376,9/1/2023,0,,
SW0088,10/1/2022,3300.5,,
SW0088,11/1/2022,2505.12,,
SW0088,12/1/2022,2572.56,,
SW0088,1/1/2023,3536.53,,
SW0088,2/1/2023,2300.83,,
SW0088,3/1/2023,15750.74,,
SW0088,4/1/2023,10204.96,,
SW0088,5/1/2023,15312.4,,
SW0088,6/1/2023,32947.44,,
SW0088,7/1/2023,17248.26,,
SW0088,8/1/2023,11644.96,,
SW0088,9/1/2023,5367.27,,
SW0057,10/1/2022,0,,
SW0057,11/1/2022,0,,
SW0057,12/1/2022,0,,
SW0057,1/1/2023,0,,
SW0057,2/1/2023,0,,
SW0057,3/1/2023,0,,
SW0057,4/1/2023,206.72,,
SW0057,5/1/2023,67.93,,
SW0057,6/1/2023,0,,
SW0057,7/1/2023,0,,
SW0057,8/1/2023,0,,
SW0057,9/1/2023,0,,
SW0412,10/1/2022,0,,
SW0412,11/1/2022,0,,
SW0412,12/1/2022,0,,
SW0412,1/1/2023,0,,
SW0412,2/1/2023,0,,
SW0412,3/1/2023,326.44,,
SW0412,4/1/2023,0,,
SW0412,5/1/2023,381.5,,
SW0412,6/1/2023,3227.17,,
SW0412,7/1/2023,1283.54,,
SW0412,8/1/2023,0,,
SW0412,9/1/2023,107.11,,
SW0059,10/1/2022,0,,
SW0059,11/1/2022,0,,
SW0059,12/1/2022,0,,
SW0059,1/1/2023,0,,
SW0059,2/1/2023,0,,
SW0059,3/1/2023,0,,
SW0059,4/1/2023,0,,
SW0059,5/1/2023,0,,
SW0059,6/1/2023,0,,
SW0059,7/1/2023,0,,
SW0059,8/1/2023,0,,
SW0059,9/1/2023,0,,
SW0241,10/1/2022,0,,
SW0241,11/1/2022,0,,
SW0241,12/1/2022,0,,
SW0241,1/1/2023,0,,
SW0241,2/1/2023,0,,
SW0241,3/1/2023,0,,
SW0241,4/1/2023,0,,
SW0241,5/1/2023,61.07,,
SW0241,6/1/2023,120.1,,
SW0241,7/1/2023,136.24,,
SW0241,8/1/2023,44.9,,
SW0241,9/1/2023,15.33,,
SW0367,10/1/2022,0,,
SW0367,11/1/2022,0,,
SW0367,12/1/2022,0,,
SW0367,1/1/2023,0,,
SW0367,2/1/2023,0,,
SW0367,3/1/2023,0,,
SW0375,10/1/2022,0,,
SW0375,11/1/2022,0,,
SW0375,12/1/2022,0,,
SW0375,1/1/2023,0,,
SW0375,2/1/2023,0,,
SW0375,3/1/2023,0,,
SW0375,4/1/2023,0,,
SW0375,5/1/2023,12.89,,
SW0375,6/1/2023,159.67,,
SW0375,7/1/2023,272.73,,
SW0375,8/1/2023,590.08,,
SW0375,9/1/2023,78.35,,
SW0087,10/1/2022,0,,
SW0087,11/1/2022,0,,
SW0087,12/1/2022,0,,
SW0087,1/1/2023,368.85,,
SW0087,2/1/2023,0,,
SW0087,3/1/2023,3288.6,,
SW0087,4/1/2023,0,,
SW0087,5/1/2023,430.41,,
SW0087,6/1/2023,1628.07,,
SW0087,7/1/2023,49.59,,
SW0087,8/1/2023,7323.97,,
SW0087,9/1/2023,5152.07,,
SW0242,10/1/2022,0,,
SW0242,11/1/2022,0,,
SW0242,12/1/2022,0,,
SW0242,1/1/2023,0,,
SW0242,2/1/2023,0,,
SW0242,3/1/2023,0,,
SW0242,4/1/2023,13.88,,
SW0242,5/1/2023,247.65,,
SW0242,6/1/2023,402.89,,
SW0242,7/1/2023,522.74,,
SW0242,8/1/2023,203.2,,
SW0242,9/1/2023,167.83,,
